
Host: shannon-book.local

Timers On : Thu Jan 17 16:21:24 2019
Timers Off: Thu Jan 17 16:21:25 2019

Wall Time:        1.60 seconds

JK: (A|mn)                  :      0.033u      0.000s      0.016w      1 calls
JK: (A|Q)^-1/2              :      0.017u      0.000s      0.012w      1 calls
JK: (Q|mn)                  :      0.000u      0.000s      0.000w      1 calls
HF: Form H                  :      0.000u      0.000s      0.004w      1 calls
HF: Form S/X                :      0.000u      0.000s      0.000w      1 calls
HF: Guess                   :      0.000u      0.000s      0.000w      1 calls
HF: Form G                  :      0.767u      0.017s      0.470w     29 calls
JK: D                       :      0.000u      0.000s      0.000w     29 calls
JK: USO2AO                  :      0.000u      0.000s      0.000w     29 calls
JK: JK                      :      0.767u      0.017s      0.469w     29 calls
JK: J                       :      0.000u      0.000s      0.002w     20 calls
JK: J1                      :      0.000u      0.000s      0.001w     40 calls
JK: J2                      :      0.000u      0.000s      0.001w     40 calls
JK: K                       :      0.033u      0.000s      0.012w     20 calls
JK: K1                      :      0.033u      0.000s      0.010w     40 calls
JK: K2                      :      0.000u      0.000s      0.002w     40 calls
JK: AO2USO                  :      0.000u      0.000s      0.000w     29 calls
HF: Form F                  :      0.000u      0.000s      0.001w     29 calls
HF: DIIS                    :      0.000u      0.000s      0.003w     29 calls
DIISManager::add_entry      :      0.000u      0.000s      0.001w     10 calls
DIISManager::extrapolate    :      0.000u      0.000s      0.001w      9 calls
bMatrix setup               :      0.000u      0.000s      0.000w      9 calls
bMatrix pseudoinverse       :      0.000u      0.000s      0.000w      9 calls
New vector                  :      0.000u      0.000s      0.000w      9 calls
HF: Form C                  :      0.000u      0.000s      0.003w     29 calls
HF: Form D                  :      0.000u      0.000s      0.000w     29 calls

-----------------------------------------------------------
JK: (A|mn)                  :      0.033u      0.000s      0.016w      1 calls
JK: (A|Q)^-1/2              :      0.017u      0.000s      0.012w      1 calls
JK: (Q|mn)                  :      0.000u      0.000s      0.000w      1 calls
HF: Form H                  :      0.000u      0.000s      0.004w      1 calls
HF: Form S/X                :      0.000u      0.000s      0.000w      1 calls
HF: Guess                   :      0.000u      0.000s      0.000w      1 calls
HF: Form G                  :      0.767u      0.017s      0.470w     29 calls
| JK: D                     :      0.000u      0.000s      0.000w     29 calls
| JK: USO2AO                :      0.000u      0.000s      0.000w     29 calls
| JK: JK                    :      0.767u      0.017s      0.469w     29 calls
| | JK: J                   :      0.000u      0.000s      0.002w     20 calls
| | | JK: J1                :      0.000u      0.000s      0.001w     40 calls
| | | JK: J2                :      0.000u      0.000s      0.001w     40 calls
| | JK: K                   :      0.033u      0.000s      0.012w     20 calls
| | | JK: K1                :      0.033u      0.000s      0.010w     40 calls
| | | JK: K2                :      0.000u      0.000s      0.002w     40 calls
| JK: AO2USO                :      0.000u      0.000s      0.000w     29 calls
HF: Form F                  :      0.000u      0.000s      0.001w     29 calls
HF: DIIS                    :      0.000u      0.000s      0.003w     29 calls
| DIISManager::add_entry    :      0.000u      0.000s      0.001w     10 calls
| DIISManager::extrapolate  :      0.000u      0.000s      0.001w      9 calls
| | bMatrix setup           :      0.000u      0.000s      0.000w      9 calls
| | bMatrix pseudoinverse   :      0.000u      0.000s      0.000w      9 calls
| | New vector              :      0.000u      0.000s      0.000w      9 calls
HF: Form C                  :      0.000u      0.000s      0.003w     29 calls
HF: Form D                  :      0.000u      0.000s      0.000w     29 calls

***********************************************************

Host: shannon-book.local

Timers On : Thu Jan 17 16:22:12 2019
Timers Off: Thu Jan 17 16:22:14 2019

Wall Time:        1.61 seconds

JK: (A|mn)                  :      0.033u      0.000s      0.016w      1 calls
JK: (A|Q)^-1/2              :      0.017u      0.000s      0.013w      1 calls
JK: (Q|mn)                  :      0.000u      0.000s      0.000w      1 calls
HF: Form H                  :      0.000u      0.000s      0.004w      1 calls
HF: Form S/X                :      0.000u      0.000s      0.000w      1 calls
HF: Guess                   :      0.000u      0.000s      0.000w      1 calls
HF: Form G                  :      0.783u      0.017s      0.512w     29 calls
JK: D                       :      0.000u      0.000s      0.000w     29 calls
JK: USO2AO                  :      0.000u      0.000s      0.000w     29 calls
JK: JK                      :      0.783u      0.017s      0.511w     29 calls
JK: J                       :      0.017u      0.000s      0.002w     20 calls
JK: J1                      :      0.000u      0.000s      0.001w     40 calls
JK: J2                      :      0.017u      0.000s      0.001w     40 calls
JK: K                       :      0.017u      0.000s      0.012w     20 calls
JK: K1                      :      0.017u      0.000s      0.010w     40 calls
JK: K2                      :      0.000u      0.000s      0.002w     40 calls
JK: AO2USO                  :      0.000u      0.000s      0.000w     29 calls
HF: Form F                  :      0.000u      0.000s      0.001w     29 calls
HF: DIIS                    :      0.017u      0.000s      0.003w     29 calls
DIISManager::add_entry      :      0.000u      0.000s      0.001w     10 calls
DIISManager::extrapolate    :      0.000u      0.000s      0.001w      9 calls
bMatrix setup               :      0.000u      0.000s      0.000w      9 calls
bMatrix pseudoinverse       :      0.000u      0.000s      0.000w      9 calls
New vector                  :      0.000u      0.000s      0.000w      9 calls
HF: Form C                  :      0.000u      0.000s      0.004w     29 calls
HF: Form D                  :      0.000u      0.000s      0.000w     29 calls

-----------------------------------------------------------
JK: (A|mn)                  :      0.033u      0.000s      0.016w      1 calls
JK: (A|Q)^-1/2              :      0.017u      0.000s      0.013w      1 calls
JK: (Q|mn)                  :      0.000u      0.000s      0.000w      1 calls
HF: Form H                  :      0.000u      0.000s      0.004w      1 calls
HF: Form S/X                :      0.000u      0.000s      0.000w      1 calls
HF: Guess                   :      0.000u      0.000s      0.000w      1 calls
HF: Form G                  :      0.783u      0.017s      0.512w     29 calls
| JK: D                     :      0.000u      0.000s      0.000w     29 calls
